text,sentiment,urgency,categories_vector,categories_str
I opened the box and the screen on the charger is completely shattered.,negative,high,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
"The keyboard works fine mostly, except it literally sparked and caught fire when I plugged it in.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Two-factor authentication is not sending me the code.,negative,medium,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
The tablet emitted an electric shock when I touched it.,negative,high,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",safety_issue
"I was promised a full refund but was charged again, and support keeps ignoring my emails.",negative,high,"[1, 0, 0, 1, 0, 0, 1, 0, 0]","billing,customer_service,refund_request"
Is it possible to merge two accounts?!!,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
I was transferred three times and had to repeat my issue every time.,negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
Is the blender waterproof?,neutral,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
Is the smartwatch waterproof?,neutral,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
My keyboard keeps crashing every time I open the app.!!,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
"Great job, support team! You managed to solve absolutely nothing.",negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
"It took two days to get an email reply, which is too slow.",negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
My package is two weeks late and every time I contact support they give me a different story.,negative,high,"[0, 1, 0, 1, 0, 0, 0, 0, 0]","shipping,customer_service"
How long does the battery last on the charger?,neutral,low,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
"It took two days to get an email reply, which is too slow.",negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
you charged me twice for my monitor! i need a refund right now or i'm calling my bank.,negative,high,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
My laptop tracking hasn't updated in a week and the order still shows as processing.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 1]","shipping,order_status"
I've been locked out of my account for 3 days and support hasn't responded to any of my messages.,negative,high,"[0, 0, 0, 1, 0, 1, 0, 0, 0]","account_access,customer_service"
"I love the camera quality, but the battery on this keyboard is swelling and smells like chemicals.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
The software keeps freezing every few hours.,negative,medium,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
The FAQ section is hard to navigate.,negative,low,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
the billing statement format is confusing.!,negative,low,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
The tracking link you sent isn't working.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
"Decent performance, but the mouse gets so hot it is uncomfortable to hold.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
My refund request was denied without any explanation. This is unacceptable.!!,negative,high,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
I placed an order 3 hours ago and it still shows as pending.,negative,medium,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
Really impressed that my next-day delivery took this long. You've invented time travel.,negative,medium,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",shipping
how do i change my account email address?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
The chatbot is useless and I can't get past it to talk to a human.,negative,medium,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",customer_service
"I really liked the design, until it overheated and scorched my desk.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
Can I get a refund to store credit instead of my original payment method?,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
"I love the camera quality, but the battery on this laptop is swelling and smells like chemicals.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
I keep getting error code 502 on the smartwatch. No documentation explains it.,negative,medium,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",technical_support
My bill is higher than expected. Can someone explain these extra fees?,negative,medium,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
The battery died after one hour of use and won't recharge. Totally defective.,negative,high,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",product_quality
How do I change my account email address?,neutral,low,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",account_access
My order status has shown 'Processing' for 5 days. What is happening?,negative,low,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",order_status
"I love the camera quality, but the battery on this charger is swelling and smells like chemicals.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
"The blender was fine for a month, then started leaking a brown liquid from the bottom.",negative,high,"[0, 0, 1, 0, 0, 0, 0, 1, 0]","product_quality,safety_issue"
i'd like to request a refund for the headphones i returned last week.,negative,medium,"[0, 0, 0, 0, 0, 0, 1, 0, 0]",refund_request
I canceled my subscription months ago and you just billed me $100. Refund immediately!,negative,high,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",billing
